		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  257  240  259  256  228  256  230  274  7.290061 0.505685 SUCCESS  76
100101000  246  255  233  249  248  264  254  254  2.329737 0.969198 SUCCESS  77
100110000  256  243  246  253  241  259  267  260  2.738044 0.949706 SUCCESS  78
100111000  282  264  261  219  271  278  235  265 16.464040 0.036200 SUCCESS  79
101000000  213  251  271  247  251  234  277  237 12.306238 0.138054 SUCCESS  80
101000100  248  229  278  252  269  272  240  243  9.217947 0.324245 SUCCESS  81
101001000  242  252  227  257  237  234  248  254  4.507547 0.808678 SUCCESS  82
101001100  245  229  229  234  245  247  271  266  7.831798 0.450071 SUCCESS  83
101010000  264  266  261  236  227  226  277  259 11.106788 0.195722 SUCCESS  84
101010100  238  262  270  277  231  229  274  253 11.605600 0.169687 SUCCESS  85
101011000  228  225  238  261  254  247  230  234  8.491580 0.386980 SUCCESS  86
101011100  301  247  256  211  248  263  222  274 23.585883 0.002688 FAILURE  87
101100000  256  231  235  292  230  239  231  228 15.515935 0.049856 SUCCESS  88
101100100  224  262  247  273  222  261  233  273 12.746610 0.120870 SUCCESS  89
101101000  255  237  264  267  255  256  250  231  4.557196 0.803684 SUCCESS  90
101101100  253  239  223  251  265  238  223  224 10.886990 0.208185 SUCCESS  91
101110000  272  263  244  264  246  229  217  265 10.988873 0.202330 SUCCESS  92
101110100  268  250  241  281  303  272  250  251 19.295168 0.013358 SUCCESS  93
101111000  243  244  246  250  248  224  261  269  5.223572 0.733435 SUCCESS  94
101111100  249  229  238  260  250  271  239  260  5.576671 0.694532 SUCCESS  95
110000000  274  242  246  261  263  231  224  249  8.207265 0.413490 SUCCESS  96
110000010  260  250  256  256  233  231  256  241  3.882804 0.867539 SUCCESS  97
110000100  250  255  241  245  254  247  229  238  3.060501 0.930504 SUCCESS  98
110001000  231  261  256  241  270  283  273  247 10.872768 0.209013 SUCCESS  99
110001010  252  223  241  236  256  238  257  255  5.224218 0.733365 SUCCESS 100
110010000  263  269  267  255  235  241  238  267  6.553996 0.585425 SUCCESS 101
110010010  254  237  228  282  220  240  243  248 11.355030 0.182383 SUCCESS 102
110010100  263  254  219  253  232  256  251  248  6.285713 0.615261 SUCCESS 103
110011000  255  261  253  261  237  252  270  235  4.446651 0.814747 SUCCESS 104
110011010  227  264  229  229  277  241  250  239 10.494974 0.231988 SUCCESS 105
110100000  233  228  252  278  259  261  231  230 10.439119 0.235547 SUCCESS 106
110100010  254  220  241  276  251  254  245  245  7.197228 0.515511 SUCCESS 107
110100100  269  241  230  266  251  240  231  230  8.103830 0.423394 SUCCESS 108
110101000  260  256  266  241  239  265  269  243  5.089883 0.747928 SUCCESS 109
110101010  242  279  272  282  256  237  272  242 13.109535 0.108136 SUCCESS 110
110101100  234  230  245  227  269  258  234  240  8.229374 0.411391 SUCCESS 111
110110000  274  248  233  261  257  233  236  241  6.638295 0.576112 SUCCESS 112
110110010  250  241  231  266  239  243  245  267  4.888057 0.769471 SUCCESS 113
110110100  262  254  264  266  265  234  250  222  7.768057 0.456449 SUCCESS 114
110111000  230  249  246  260  262  235  258  223  6.941875 0.542917 SUCCESS 115
110111010  258  239  253  255  265  261  271  266  5.230166 0.732716 SUCCESS 116
110111100  226  231  233  245  256  232  277  238 10.269228 0.246636 SUCCESS 117
111000000  253  263  250  262  251  255  241  250  1.778174 0.987074 SUCCESS 118
111000010  271  265  254  234  248  258  243  255  4.471992 0.812229 SUCCESS 119
111000100  235  270  265  225  276  292  276  245 19.108986 0.014288 SUCCESS 120
111000110  257  249  232  262  250  218  228  228 10.374990 0.239686 SUCCESS 121
111001000  276  264  244  248  247  253  246  248  3.933875 0.863040 SUCCESS 122
111001010  234  266  232  253  217  246  254  268  9.470715 0.304154 SUCCESS 123
111001100  268  251  252  261  253  265  262  235  4.362739 0.823003 SUCCESS 124
111010000  246  223  251  266  266  243  246  271  7.299887 0.504650 SUCCESS 125
111010010  266  238  247  248  241  270  254  253  3.804453 0.874321 SUCCESS 126
111010100  248  248  273  222  234  234  260  264  8.806279 0.358901 SUCCESS 127
111010110  240  223  248  228  264  266  246  257  7.584331 0.475089 SUCCESS 128
111011000  259  215  249  238  244  231  224  255 10.535184 0.229452 SUCCESS 129
111011010  246  256  232  258  236  266  252  246  3.772259 0.877064 SUCCESS 130
111011100  217  273  264  239  249  251  283  236 13.332178 0.100920 SUCCESS 131
