		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  254  236  220  270  245  238  244  256  7.248040 0.510123 SUCCESS  76
100101000  258  250  233  269  279  226  254  256  9.035127 0.339341 SUCCESS  77
100110000  268  240  247  250  253  246  277  232  6.253261 0.618886 SUCCESS  78
100111000  250  250  240  261  266  238  224  236  6.172582 0.627907 SUCCESS  79
101000000  251  241  237  252  277  248  244  262  4.834012 0.775161 SUCCESS  80
101000100  245  260  258  280  246  261  262  232  7.014408 0.535079 SUCCESS  81
101001000  253  253  241  257  297  241  240  252 10.521608 0.230306 SUCCESS  82
101001100  266  234  256  260  264  239  238  242  4.853018 0.773164 SUCCESS  83
101010000  247  252  234  252  255  237  253  253  2.004436 0.980876 SUCCESS  84
101010100  247  247  240  258  249  212  288  279 16.188000 0.039767 SUCCESS  85
101011000  232  264  236  240  264  271  269  272  9.513899 0.300813 SUCCESS  86
101011100  226  279  257  249  251  260  244  258  6.904251 0.546998 SUCCESS  87
101100000  235  247  257  255  257  258  288  280 11.449802 0.177492 SUCCESS  88
101100100  271  221  248  224  235  252  235  248 10.003919 0.264751 SUCCESS  89
101101000  238  249  247  227  255  263  243  235  4.756566 0.783250 SUCCESS  90
101101100  258  248  251  241  247  263  264  249  2.174844 0.975177 SUCCESS  91
101110000  242  237  232  269  259  243  251  265  5.270764 0.728283 SUCCESS  92
101110100  269  271  262  215  273  232  240  255 13.030796 0.110794 SUCCESS  93
101111000  238  261  262  249  255  271  223  242  6.905414 0.546871 SUCCESS  94
101111100  246  284  225  239  238  260  256  252  9.110505 0.333060 SUCCESS  95
110000000  259  225  237  252  300  262  239  260 15.494731 0.050210 SUCCESS  96
110000010  249  241  247  275  241  235  279  242  7.973891 0.436025 SUCCESS  97
110000100  245  265  255  259  278  275  261  217 12.315806 0.137660 SUCCESS  98
110001000  236  276  242  252  249  242  247  237  4.892065 0.769048 SUCCESS  99
110001010  246  260  258  266  251  252  218  262  6.658723 0.573861 SUCCESS 100
110010000  241  226  216  262  244  232  270  259 11.569915 0.171449 SUCCESS 101
110010010  255  241  244  235  254  262  241  245  2.615992 0.956102 SUCCESS 102
110010100  262  267  242  262  270  250  246  259  4.715838 0.787471 SUCCESS 103
110011000  257  233  248  260  238  246  246  228  4.553705 0.804036 SUCCESS 104
110011010  285  246  261  246  237  281  276  242 13.447766 0.097344 SUCCESS 105
110100000  250  229  231  230  273  282  229  266 14.280929 0.074731 SUCCESS 106
110100010  236  263  263  272  273  257  256  235  7.690222 0.464300 SUCCESS 107
110100100  274  244  265  254  287  246  218  220 17.220792 0.027890 SUCCESS 108
110101000  261  267  245  249  241  251  256  238  2.888929 0.941133 SUCCESS 109
110101010  259  240  230  245  254  225  267  275  8.940226 0.347363 SUCCESS 110
110101100  254  250  242  229  274  256  275  266  8.338626 0.401110 SUCCESS 111
110110000  243  241  232  257  244  270  282  249  8.128137 0.421055 SUCCESS 112
110110010  254  231  248  218  244  236  236  251  7.577349 0.475805 SUCCESS 113
110110100  234  258  274  249  244  241  252  229  6.033980 0.643426 SUCCESS 114
110111000  236  227  241  281  249  253  252  248  7.383539 0.495872 SUCCESS 115
110111010  275  281  266  222  268  244  271  242 14.452501 0.070707 SUCCESS 116
110111100  239  246  241  238  269  290  236  244 10.571386 0.227187 SUCCESS 117
111000000  254  258  258  248  260  250  232  255  2.471960 0.963026 SUCCESS 118
111000010  252  239  250  229  258  259  240  249  3.356453 0.910040 SUCCESS 119
111000100  257  271  242  242  222  268  232  255  8.583636 0.378627 SUCCESS 120
111000110  259  282  254  243  238  258  245  238  6.402723 0.602217 SUCCESS 121
111001000  236  223  227  238  240  229  270  284 15.280752 0.053911 SUCCESS 122
111001010  246  258  244  282  261  250  246  265  6.221067 0.622484 SUCCESS 123
111001100  262  239  261  248  224  221  238  203 17.611774 0.024333 SUCCESS 124
111010000  262  242  262  238  259  268  260  257  4.350457 0.824201 SUCCESS 125
111010010  270  258  236  249  284  231  203  216 22.926618 0.003460 FAILURE 126
111010100  264  267  246  270  235  243  255  234  6.025834 0.644338 SUCCESS 127
111010110  259  257  223  235  255  280  267  259  9.847345 0.275904 SUCCESS 128
111011000  253  244  239  247  262  264  291  239  9.591345 0.294887 SUCCESS 129
111011010  245  264  249  281  244  226  246  255  7.597519 0.473739 SUCCESS 130
111011100  232  223  268  269  241  217  262  262 13.219693 0.104511 SUCCESS 131
111100000  265  253  269  246  273  258  239  248  5.505172 0.702467 SUCCESS 132
111100010  250  283  229  243  227  256  222  265 13.041915 0.110416 SUCCESS 133
111100100  245  233  238  254  256  269  258  272  5.874174 0.661324 SUCCESS 134
111100110  245  251  230  251  249  245  250  244  2.018659 0.980434 SUCCESS 135
111101000  254  277  254  262  231  266  257  257  6.710053 0.568214 SUCCESS 136
